NewName,Author,Family,Order,Class,Phylum,Taxonomy,OrigName,LifeForm,Region,PresentStatus,FirstRecord,FirstRecord_orig,DataQuality,Source,Harvest Point,Region2
Lycopersicon esculentum,Mill.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Lycopersicon esculentum,Vascular plants,Kermadec Islands,casual,1967,1967,,Sykes W. R. et al. (2000),,Pacific Islands
Macadamia tetraphylla,L.A.S.Johnson,Proteaceae,Proteales,Magnoliopsida,Tracheophyta,TPL,Macadamia tetraphylla,Vascular plants,Kermadec Islands,casual,1967,1967,,Sykes W. R. et al. (2000),,Pacific Islands
Malva parviflora,L.,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Malva parviflora,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Medicago arabica,(L.) Huds.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Medicago arabica,Vascular plants,Kermadec Islands,casual,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Medicago lupulina,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Medicago lupulina,Vascular plants,Kermadec Islands,casual,1967,1967,,Sykes W. R. et al. (2000),,Pacific Islands
Medicago polymorpha,L.,Leguminosae,Fabales,Magnoliopsida,Tracheophyta,TPL,Medicago polymorpha,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Modiola caroliniana,(L.) G.Don,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,TPL,Modiola caroliniana,Vascular plants,Kermadec Islands,established,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Nicotiana tabacum,L.,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,TPL,Nicotiana tabacum,Vascular plants,Kermadec Islands,casual,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Oplismenus compositus,(L.) P.Beauv.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Oplismenus compositus,Vascular plants,Kermadec Islands,established,1888,1888,,Sykes W. R. et al. (2000),,Pacific Islands
Orobanche minor,Sm.,Orobanchaceae,Lamiales,Magnoliopsida,Tracheophyta,TPL,Orobanche minor,Vascular plants,Kermadec Islands,casual,1944,1944,,Sykes W. R. et al. (2000),,Pacific Islands
Oxalis corniculata,L.,Oxalidaceae,Oxalidales,Magnoliopsida,Tracheophyta,TPL,Oxalis corniculata var. corniculata,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
Oxalis latifolia,Kunth,Oxalidaceae,Oxalidales,Magnoliopsida,Tracheophyta,TPL,Oxalis latifolia,Vascular plants,Kermadec Islands,established,1966,1966,,Sykes W. R. et al. (2000),,Pacific Islands
Paspalum conjugatum,P.J.Bergius,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Paspalum conjugatum,Vascular plants,Kermadec Islands,established,1946,1946,,Sykes W. R. et al. (2000),,Pacific Islands
Paspalum dilatatum,Poir.,Poaceae,Poales,Liliopsida,Tracheophyta,TPL,Paspalum dilatatum,Vascular plants,Kermadec Islands,established,1908,1908,,Sykes W. R. et al. (2000),,Pacific Islands
